"Norm","GAMS_v7","equilibria","status"
"afeall","afealleq","","missing_in_equilibria"
"ape","apeeq","","missing_in_equilibria"
"arent","arenteq","eq_arent","matched"
"axp","axpeq","","missing_in_equilibria"
"capacct","capAccteq","eq_capacct","matched"
"ced","cedeq","","missing_in_equilibria"
"chif","chifeq","eq_chif","matched"
"chisave","chiSaveeq","eq_chisave","matched"
"cv","cveq","eq_cv","matched"
"dintx","dintxeq","eq_dintxeq","matched"
"ev","eveq","eq_ev","matched"
"facty","factYeq","eq_facty","matched"
"gdpmp","gdpmpeq","eq_gdpmp","matched"
"glcal","glcaleq","","missing_in_equilibria"
"incelas","incelaseq","","missing_in_equilibria"
"kapend","kapEndeq","eq_kapend","matched"
"kstock","kstockeq","eq_kstock","matched"
"lambdaf","lambdafeq","","missing_in_equilibria"
"lambdaio","lambdaioeq","","missing_in_equilibria"
"lambdand","lambdandeq","","missing_in_equilibria"
"lambdava","lambdavaeq","","missing_in_equilibria"
"mintx","mintxeq","eq_mintxeq","matched"
"nd","ndeq","eq_nd","matched"
"p","peq","eq_peq","matched"
"pa","paeq","","missing_in_equilibria"
"paa","","eq_paa","extra_in_equilibria"
"pabs","pabseq","eq_pabs","matched"
"pcons","pconseq","eq_pcons","matched"
"pd","pdeq","eq_pdeq","matched"
"pdp","pdpeq","","missing_in_equilibria"
"pe","peeq","eq_peeq","matched"
"pe_route","","eq_pe_route","extra_in_equilibria"
"pefob","pefobeq","eq_pefobeq","matched"
"pet","peteq","eq_peteq","matched"
"pf","pfeq","eq_pfeq","matched"
"pfa","pfaeq","eq_pfaeq","matched"
"pfact","pfacteq","eq_pfact","matched"
"pft","pfteq","","missing_in_equilibria"
"pfy","pfyeq","eq_pfyeq","matched"
"pg","pgeq","","missing_in_equilibria"
"pgdpmp","pgdpmpeq","eq_pgdpmp","matched"
"phi","phieq","eq_phi","matched"
"phip","phiPeq","eq_phip","matched"
"pi","pieq","eq_pi","matched"
"pigbl","pigbleq","eq_pigbl","matched"
"pm","pmeq","eq_pmeq","matched"
"pmcif","pmcifeq","eq_pmcifeq","matched"
"pmp","pmpeq","","missing_in_equilibria"
"pmt","pmteq","eq_pmteq","matched"
"pmuv","pmuveq","eq_pmuv","matched"
"pnd","pndeq","eq_pndeq","matched"
"pnum","pnumeq","eq_pnum","matched"
"po","","eq_po","extra_in_equilibria"
"pp","ppeq","","missing_in_equilibria"
"pp_rai","","eq_pp_rai","extra_in_equilibria"
"ps","pseq","eq_ps","matched"
"psave","psaveeq","eq_psave","matched"
"ptmg","ptmgeq","eq_ptmg","matched"
"pva","pvaeq","eq_pvaeq","matched"
"pwfact","pwfacteq","eq_pwfact","matched"
"pwmg","pwmgeq","eq_pwmg","matched"
"px","pxeq","eq_pxeq","matched"
"regy","regYeq","eq_regy","matched"
"rgdpmp","rgdpmpeq","eq_rgdpmp","matched"
"rorc","rorceq","eq_rorc","matched"
"rore","roreeq","eq_rore","matched"
"rorg","rorgeq","eq_rorg","matched"
"rsav","rsaveq","eq_rsav","matched"
"savf","savfeq","eq_savf","matched"
"u","ueq","eq_u","matched"
"ued","uedeq","","missing_in_equilibria"
"ug","ugeq","eq_ug","matched"
"uh","uheq","eq_uh","matched"
"us","useq","eq_us","matched"
"va","vaeq","eq_va","matched"
"walras","","eq_walras","extra_in_equilibria"
"x","xeq","eq_x","matched"
"xaa_activity","","eq_xaa_activity","extra_in_equilibria"
"xaa_gov","","eq_xaa_gov","extra_in_equilibria"
"xaa_hhd","","eq_xaa_hhd","extra_in_equilibria"
"xaa_inv","","eq_xaa_inv","extra_in_equilibria"
"xaa_tmg","","eq_xaa_tmg","extra_in_equilibria"
"xac","xaceq","","missing_in_equilibria"
"xag","xageq","","missing_in_equilibria"
"xai","xaieq","","missing_in_equilibria"
"xap","xapeq","","missing_in_equilibria"
"xatmg","xatmgeq","","missing_in_equilibria"
"xc","","eq_xc","extra_in_equilibria"
"xcshr","xcshreq","eq_xcshr","matched"
"xd","xdeq","","missing_in_equilibria"
"xd_agg","","eq_xd_agg","extra_in_equilibria"
"xda","","eq_xda","extra_in_equilibria"
"xds","xdseq","eq_xds","matched"
"xe_xw","","eq_xe_xw","extra_in_equilibria"
"xet","xeteq","eq_xet","matched"
"xet_agg","","eq_xet_agg","extra_in_equilibria"
"xf","xfeq","eq_xfeq","matched"
"xft","xfteq","eq_xfteq","matched"
"xg","xgeq","eq_xg","matched"
"xi","xieq","eq_xi","matched"
"xiagg","","eq_xiagg","extra_in_equilibria"
"xigbl","xigbleq","eq_xigbl","matched"
"xm","xmeq","","missing_in_equilibria"
"xma","","eq_xma","extra_in_equilibria"
"xmgm","xmgmeq","eq_xmgm","matched"
"xmt","xmteq","","missing_in_equilibria"
"xmt_agg","","eq_xmt_agg","extra_in_equilibria"
"xp","xpeq","","missing_in_equilibria"
"xs","xseq","eq_xseq","matched"
"xtmg","xtmgeq","eq_xtmg","matched"
"xw","xweq","eq_xweq","matched"
"xwmg","xwmgeq","eq_xwmg","matched"
"yc","yceq","eq_yc","matched"
"yg","ygeq","eq_yg","matched"
"yi","yieq","eq_yi","matched"
"ytax","ytaxeq","eq_ytax","matched"
"ytax_ind","","eq_ytax_ind","extra_in_equilibria"
"ytax_tot","","eq_ytax_tot","extra_in_equilibria"
"ytaxind","ytaxIndeq","","missing_in_equilibria"
"ytaxshr","ytaxshreq","eq_ytaxshreq","matched"
"ytaxtot","ytaxToteq","","missing_in_equilibria"
"zcons","zconseq","eq_zcons","matched"
